"population","projName","Contour","nPredicted","plateau"
"pop100","sim1",50,1588,1676.06409788891
"pop250","sim1",50,2337,2352.31787767067
"pop500","sim1",50,2146,2111.67944620257
"pop750","sim1",50,2723,2628.73518430396
"pop1000","sim1",50,2911,2734.29570175524
"pop100","sim1",75,1576,3347.03327056448
"pop250","sim1",75,2140,4440.05477314805
"pop500","sim1",75,2069,4191.4984519426
"pop750","sim1",75,2446,4885.53428662284
"pop1000","sim1",75,2579,5044.26736026406
"pop100","sim1",90,1659,5409.71708312203
"pop250","sim1",90,2022,6517.29990624594
"pop500","sim1",90,1980,6261.62227337589
"pop750","sim1",90,2233,7003.02454780729
"pop1000","sim1",90,2323,7162.08356567119
"pop100","sim1",95,1590,6323.39255907325
"pop250","sim1",95,1859,7349.07401006632
"pop500","sim1",95,1892,7310.94923285768
"pop750","sim1",95,2100,8057.18123598006
"pop1000","sim1",95,2188,8229.19113037195
"pop100","sim1",99,1376,7439.88365473469
"pop250","sim1",99,1574,8480.39058302935
"pop500","sim1",99,1656,8661.90955298883
"pop750","sim1",99,1798,9348.6077108939
"pop1000","sim1",99,1874,9530.78264886722
"pop100","sim2",50,165,142.870418964431
"pop250","sim2",50,230,181.723922051928
"pop500","sim2",50,278,172.514317569672
"pop750","sim2",50,345,184.845334830157
"pop1000","sim2",50,320,185.418470300685
"pop100","sim2",75,180,310.989978348542
"pop250","sim2",75,231,365.183698219823
"pop500","sim2",75,271,347.332994423784
"pop750","sim2",75,346,377.324619698365
"pop1000","sim2",75,326,376.431365481614
"pop100","sim2",90,195,507.648426171289
"pop250","sim2",90,246,567.969462326964
"pop500","sim2",90,342,576.783273113187
"pop750","sim2",90,412,619.963131679881
"pop1000","sim2",90,368,618.753423377552
"pop100","sim2",95,203,626.432674401666
"pop250","sim2",95,260,690.916774429896
"pop500","sim2",95,396,730.115842249857
"pop750","sim2",95,484,786.762828002231
"pop1000","sim2",95,499,790.03821267225
"pop100","sim2",99,203,806.937768695608
"pop250","sim2",99,290,896.398575093391
"pop500","sim2",99,487,992.656838470507
"pop750","sim2",99,627,1083.11352195658
"pop1000","sim2",99,697,1097.05834397078
"pop100","sim3",50,25,19.3285100357902
"pop250","sim3",50,36,21.0917526506359
"pop500","sim3",50,57,24.1133050512059
"pop750","sim3",50,38,20.6625381017192
"pop1000","sim3",50,38,22.3189322443253
"pop100","sim3",75,42,47.5855441337928
"pop250","sim3",75,55,50.1260039417188
"pop500","sim3",75,75,58.237510590599
"pop750","sim3",75,47,49.0937898110783
"pop1000","sim3",75,65,54.8192661588192
"pop100","sim3",90,55,86.3737292262049
"pop250","sim3",90,79,92.2556055543469
"pop500","sim3",90,99,107.197020823072
"pop750","sim3",90,92,92.1023947741274
"pop1000","sim3",90,111,103.031399548618
"pop100","sim3",95,66,113.575851164979
"pop250","sim3",95,103,124.306789423298
"pop500","sim3",95,98,144.285330626428
"pop750","sim3",95,142,127.657778640111
"pop1000","sim3",95,150,139.632706095977
"pop100","sim3",99,86,163.896722762842
"pop250","sim3",99,163,189.864466410903
"pop500","sim3",99,224,222.428670188525
"pop750","sim3",99,280,204.948413730974
"pop1000","sim3",99,387,227.99420676271
